Len_A,Len_B,Knuth_ms,NR_ms
1600,55,141.0000399,99.99996051
1600,60,129.0000044,101.0000054
1600,65,131.9999504,101.0000054
1600,70,130.9999684,99.00004137
1600,75,139.000013,99.00004137
1600,80,146.9999948,101.0000054
1600,85,138.9999501,100.0000234
1600,90,140.999977,102.9999694
1600,95,140.999977,101.0000054
1600,100,161.9999763,101.0000054
1650,5,99.99996051,80.99998813
1650,10,104.9999963,79.99994326
1650,15,115.0000049,101.9999874
1650,20,115.9999869,101.9999874
1650,25,113.0000409,102.9999694
1650,30,115.0000049,101.0000054
1650,35,116.9999689,101.9999874
1650,40,120.9999598,104.0000143
1650,45,139.999995,103.9999514
1650,50,142.0000219,103.0000322
1650,55,144.9999679,101.9999874
1650,60,132.9999953,103.0000322
1650,65,134.9999593,103.9999514
1650,70,136.0000041,104.0000143
1650,75,143.0000039,104.0000143
1650,80,152.0000305,104.0000143
1650,85,143.9999859,104.9999963
1650,90,144.9999679,104.9999963
1650,95,146.9999948,103.9999514
1650,100,166.9999491,104.9999963
1700,5,103.9999514,82.000033
1700,10,108.9999871,84.99997901
1700,15,118.0000138,104.0000143
1700,20,119.9999778,104.9999963
1700,25,116.9999689,104.9999963
1700,30,119.9999778,106.0000411
1700,35,118.9999958,105.9999783
1700,40,125.0000135,105.9999783
1700,45,143.9999859,105.9999783
1700,50,146.0000128,107.0000231
1700,55,150.0000036,105.9999783
1700,60,136.9999861,106.9999603
1700,65,139.999995,107.9999423
1700,70,138.9999501,108.0000051
1700,75,147.9999768,105.9999783
1700,80,157.0000034,108.0000051
1700,85,146.9999948,105.9999783
1700,90,147.9999768,108.0000051
1700,95,150.9999856,106.9999603
1700,100,170.99994,106.0000411
1750,5,107.0000231,86.00002388
1750,10,112.999978,87.00000588
1750,15,122.0000046,108.0000051
1750,20,122.9999866,109.9999691
1750,25,119.9999778,104.9999963
1750,30,121.0000226,108.9999871
1750,35,119.9999778,106.9999603
1750,40,125.9999955,106.9999603
1750,45,145.9999499,108.0000051
1750,50,147.9999768,108.9999871
1750,50,132.9999953,106.9999603
1750,55,150.9999856,108.0000051
1750,60,136.9999861,107.9999423
1750,65,139.999995,109.9999691
1750,70,140.999977,109.9999691
1750,75,148.9999588,108.0000051
1750,80,158.9999674,109.9999691
1750,85,148.9999588,109.9999691
1750,90,150.9999856,110.9999511
1750,95,150.9999856,109.9999691
1750,100,172.9999669,111.999996
1750,100,156.0000214,109.9999691
1750,150,188.9999933,111.999996
1750,200,206.0000016,112.999978
1750,250,230.0000098,115.9999869
1750,300,261.9999996,118.9999958
1750,350,282.0000169,118.9999958
1750,400,300.9999893,118.9999958
1750,450,331.9999971,121.0000226
1750,500,347.0000415,122.9999866
1750,550,377.0000045,123.9999686
1750,600,394.9999949,124.0000315
1750,650,418.000021,126.9999775
1750,700,448.999966,127.9999595
1750,750,475.000001,128.0000224
1750,800,493.9999734,129.9999864
1750,850,516.9999995,131.0000313
1800,5,106.9999603,132.9999953
1800,10,111.999996,134.9999593
1800,15,122.9999866,109.9999691
1800,20,123.9999686,110.9999511
1800,25,121.0000226,110.9999511
1800,30,124.9999506,111.000014
1800,35,124.0000315,111.000014
1800,40,129.0000044,111.999996
1800,45,150.0000036,111.000014
1800,50,153.9999945,110.9999511
1800,55,156.0000214,112.999978
1800,60,143.0000039,111.000014
1800,65,143.0000039,111.999996
1800,70,145.0000308,113.0000409
1800,75,153.9999945,112.999978
1800,80,164.0000031,112.999978
1800,85,153.9999945,115.0000049
1800,90,157.0000034,114.0000229
1800,95,159.9999494,115.0000049
1800,100,179.9999666,115.0000049
1850,5,110.9999511,139.999995
1850,10,118.0000138,141.0000399
1850,15,127.9999595,115.0000049
1850,20,128.0000224,115.0000049
1850,25,123.9999686,115.0000049
1850,30,129.0000044,115.9999869
1850,35,129.9999864,116.0000497
1850,40,133.9999773,115.0000049
1850,45,154.9999765,116.9999689
1850,50,157.9999854,115.9999869
1850,55,160.9999943,117.9999509
1850,60,148.0000396,116.0000497
1850,65,151.9999676,118.0000138
1850,70,151.9999676,117.9999509
1850,75,159.9999494,118.9999958
1850,80,171.0000029,118.0000138
1850,85,160.9999943,118.0000138
1850,90,161.9999763,118.0000138
1850,95,164.0000031,118.0000138
1850,100,185.0000024,120.9999598
1900,5,114.0000229,142.0000219
1900,10,120.9999598,143.9999859
1900,15,130.9999684,118.9999958
1900,20,130.9999684,118.9999958
1900,25,130.9999684,122.9999866
1900,30,132.9999953,122.0000046
1900,35,132.9999953,121.0000226
1900,40,137.9999681,121.0000226
1900,45,161.9999763,121.0000226
1900,50,164.0000031,122.0000046
1900,55,167.000012,120.9999598
1900,60,151.0000485,122.0000046
1900,65,155.9999585,120.0000406
1900,70,154.9999765,119.9999778
1900,75,164.0000031,121.0000226
1900,80,174.9999938,122.0000046
1900,85,164.0000031,122.0000046
1900,90,164.9999851,120.9999598
1900,95,167.999994,122.0000046
1900,100,190.0000381,122.9999866
1950,5,117.9999509,143.9999859
1950,10,124.0000315,147.9999768
1950,15,132.9999953,123.0000495
1950,20,136.0000041,122.0000046
